,RF_column
moderncam4b_010p10p30a,4.063010309494544
moderncam4b_010p20p40a,2.051820992714042
moderncam4b_010p30p50a,0.0
moderncam4b_025p20p40a,3.598809308420517
moderncam4b_050p10p30a,6.8146827259947855
moderncam4b_050p15p35a,5.814007173741075
moderncam4b_050p20p40a,4.803493409214283
moderncam4b_050p25p45a,3.782825725081267
moderncam4b_050p30p50a,2.7516724165002415
moderncam4b_100p20p40a,5.993722449625764
moderncam4b_200p10p30a,9.22504107581733
moderncam4b_200p20p40a,7.213851759036828
moderncam4b_200p30p50a,5.162030766322786
