,glacier_free_habitable_percent_mean
moderncam4b_010p10p30a,10.128525747357706
moderncam4b_010p20p40a,2.550153396295726
moderncam4b_010p30p50a,0.07896562808200315
moderncam4b_025p20p40a,2.8815386737924436
moderncam4b_050p10p30a,12.517485717702577
moderncam4b_050p15p35a,7.680009568509293
moderncam4b_050p20p40a,3.3664777545852376
moderncam4b_050p25p45a,1.1410490887394218
moderncam4b_050p30p50a,0.18818125160396942
moderncam4b_100p20p40a,4.391246938178896
moderncam4b_200p10p30a,14.631732547471522
moderncam4b_200p20p40a,4.768803658083667
moderncam4b_200p30p50a,0.4465490094288307
